n,c,Energy,Runtime
1000,5,949,1.016911
1000,10,950,4.285228
1000,15,949,10.974646
1000,20,950,25.220187
2000,5,1949,0.966093
2000,10,1949,3.243471
2000,15,1949,12.004932
2000,20,1950,17.989778
3000,5,2949,1.307219
3000,10,2949,3.653313
3000,15,2949,6.36506
3000,20,2949,12.548264
4000,5,3949,1.319577
4000,10,3949,2.806488
4000,15,3949,6.550444
4000,20,3949,13.746167
5000,5,4949,2.115754
5000,10,4949,4.146813
5000,15,4949,6.938201
5000,20,4949,12.833809
6000,5,5949,1.802746
6000,10,5949,2.937426
6000,15,5949,5.516091
6000,20,5949,9.05275
7000,5,6949,1.880072
7000,10,6949,3.615247
7000,15,6949,4.924311
7000,20,6949,9.209316
8000,5,7949,2.322581
8000,10,7949,3.569145
8000,15,7949,6.863826
8000,20,7949,11.937693
9000,5,8949,3.148428
9000,10,8949,3.51629
9000,15,8949,6.685774
9000,20,8949,8.152173
10000,5,9949,2.764236
10000,10,9949,4.313418
10000,15,9949,5.831186
10000,20,9949,9.927646
